SA2_MAINCODE_2011,SA2_NAME_2011,SUA_CODE_2011,SUA_NAME_2011,AREA_ALBERS_SQKM
217021431,Otway,2000,Not in any Significant Urban Area (Vic.),1505.9002183571
217021432,Warrnambool - North,2022,Warrnambool,62.4196461151
217021433,Warrnambool - South,2022,Warrnambool,120.1940408976
297979799,Migratory - Offshore - Shipping (Vic.),2000,Not in any Significant Urban Area (Vic.),
299999499,No usual address (Vic.),2000,Not in any Significant Urban Area (Vic.),
301011001,Alexandra Hills,3001,Brisbane,13.5717726829
301011002,Belmont - Gumdale,3001,Brisbane,33.1562277979
301011003,Birkdale,3001,Brisbane,11.5787279721
301011004,Capalaba,3001,Brisbane,18.8921685208
301011005,Thorneside,3001,Brisbane,2.5441817079
301011006,Wellington Point,3001,Brisbane,9.4290848059
301021007,Cleveland,3001,Brisbane,11.7763026496
301021008,Ormiston,3001,Brisbane,4.9184959990
301021009,Redland Bay,3001,Brisbane,46.8163909342
301021010,Redland Islands,3001,Brisbane,489.9730769214
301021011,Sheldon - Mount Cotton,3001,Brisbane,65.2557785240
301021012,Thornlands,3001,Brisbane,21.6962620286
301021013,Victoria Point,3001,Brisbane,13.3913020563
301031014,Brisbane Port - Lytton,3001,Brisbane,32.7826261629
301031015,Manly - Lota,3001,Brisbane,3.9620686744
301031016,Manly West,3001,Brisbane,4.9604922207
301031017,Murarrie,3001,Brisbane,8.2874974501
301031018,Tingalpa,3001,Brisbane,8.9302136736
301031019,Wakerley,3001,Brisbane,4.9209479566
301031020,Wynnum,3001,Brisbane,6.1346154079
301031021,Wynnum West - Hemmant,3001,Brisbane,12.2332353139
302011022,Bald Hills,3001,Brisbane,13.0069705284
302011023,Bridgeman Downs,3001,Brisbane,9.4762762670
302011024,Carseldine,3001,Brisbane,4.5868755302
302011025,Everton Park,3001,Brisbane,4.1605205925
302011026,McDowall,3001,Brisbane,4.3855404057
302021027,Aspley,3001,Brisbane,6.2622970387
302021028,Chermside,3001,Brisbane,3.4017688496
302021029,Chermside West,3001,Brisbane,3.3947351923
302021030,Geebung,3001,Brisbane,4.0207155157
302021031,Kedron - Gordon Park,3001,Brisbane,5.2052023625
302021032,Stafford,3001,Brisbane,3.4036639114
302021033,Stafford Heights,3001,Brisbane,2.9195033724
302021034,Wavell Heights,3001,Brisbane,3.5937602220
302031035,Boondall,3001,Brisbane,10.8919371265
302031036,Brisbane Airport,3001,Brisbane,45.6986822061
302031037,Eagle Farm - Pinkenba,3001,Brisbane,7.1653599895
